Feb 14 00:56:53 gremlin-1 exo[1070975]: [ 00:56:53.323 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1453: NodeGatheredInfo(event_id='93e32a2c-d614-4125-b854-99dcb133c58f' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:56:53 gremlin-1 exo[1070975]: [ 00:56:53.325 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1454: NodeGatheredInfo(event_id='d860bd05-c10b-46e2-81fe-19a1983de15a' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:56:53 gremlin-1 exo[1070975]: [ 00:56:53.327 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='93e32a2c-d614-4125-b854-99dcb133c58f' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:56:53 gremlin-1 exo[1070975]: [ 00:56:53.329 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='d860bd05-c10b-46e2-81fe-19a1983de15a' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:56:53 gremlin-1 exo[1070975]: [ 00:56:53.389 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:56:54 gremlin-1 exo[1070975]: [ 00:56:54.323 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1455: NodeGatheredInfo(event_id='295434b5-7a3f-4623-945b-f7d3559f51e1' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:56:54 gremlin-1 exo[1070975]: [ 00:56:54.324 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='295434b5-7a3f-4623-945b-f7d3559f51e1' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:56:54 gremlin-1 exo[1070975]: [ 00:56:54.441 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:56:55 gremlin-1 exo[1070975]: [ 00:56:55.325 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1456: NodeGatheredInfo(event_id='0aaa9e8d-9a45-4c77-80d5-82f144b55e5d' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:56:55 gremlin-1 exo[1070975]: [ 00:56:55.326 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='0aaa9e8d-9a45-4c77-80d5-82f144b55e5d' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:56:55 gremlin-1 exo[1070975]: [ 00:56:55.444 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
