Feb 14 00:57:32 gremlin-1 exo[1070975]: [ 00:57:32.404 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1497: NodeGatheredInfo(event_id='8834f579-9918-4c21-8876-787c6d98d6d0' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:32 gremlin-1 exo[1070975]: [ 00:57:32.405 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='8834f579-9918-4c21-8876-787c6d98d6d0' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:32 gremlin-1 exo[1070975]: [ 00:57:32.746 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:33 gremlin-1 exo[1070975]: [ 00:57:33.411 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1498: NodeGatheredInfo(event_id='5a946293-1949-4246-82e2-9652004b5278' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:33 gremlin-1 exo[1070975]: [ 00:57:33.413 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1499: NodeGatheredInfo(event_id='9198b014-47fc-44f7-b61d-08181ff87afe' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:33 gremlin-1 exo[1070975]: [ 00:57:33.415 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='5a946293-1949-4246-82e2-9652004b5278' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:33 gremlin-1 exo[1070975]: [ 00:57:33.417 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='9198b014-47fc-44f7-b61d-08181ff87afe' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:33 gremlin-1 exo[1070975]: [ 00:57:33.763 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:34 gremlin-1 exo[1070975]: [ 00:57:34.412 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1500: NodeGatheredInfo(event_id='41a15780-ae20-46df-abdb-10c4eca4e2b6' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:34 gremlin-1 exo[1070975]: [ 00:57:34.413 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='41a15780-ae20-46df-abdb-10c4eca4e2b6' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:34 gremlin-1 exo[1070975]: [ 00:57:34.762 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.373 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /instance/previews
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.384 | DEBUG    | exo.download.coordinator:_emit_existing_download_progress:279 ] DownloadCoordinator: Fetching and emitting existing download progress...
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.415 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1501: NodeGatheredInfo(event_id='4c542eaa-4672-4fe1-a611-63155cdc24eb' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.417 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='4c542eaa-4672-4fe1-a611-63155cdc24eb' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.423 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1502: NodeDownloadProgress(event_id='46d65c2c-39f9-4d98-bc24-9188859aff71' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.426 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='46d65c2c-39f9-4d98-bc24-9188859aff71' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.426 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1503: NodeDownloadProgress(event_id='15e582f1-8d92-4aa2-b6a8-17fe31062b61' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.427 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='15e582f1-8d92-4aa2-b6a8-17fe31062b61' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.439 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1504: NodeDownloadProgress(event_id='4e70c45f-adc0-4848-9e6a-a36b051bde18' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.439 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='4e70c45f-adc0-4848-9e6a-a36b051bde18' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.445 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1505: NodeDownloadProgress(event_id='998e9543-d720-4c3a-954b-f21870f0cbcd' download_progress=DownloadCompl
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.447 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='998e9543-d720-4c3a-954b-f21870f0cbcd' download_progress=DownloadCompl
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.452 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1506: NodeDownloadProgress(event_id='ff1ecc3a-9c40-44ac-8972-da5de7606a0e' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.453 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='ff1ecc3a-9c40-44ac-8972-da5de7606a0e' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.457 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1507: NodeDownloadProgress(event_id='924f1325-dfef-4447-8c63-56b936d6ba1a' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.459 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='924f1325-dfef-4447-8c63-56b936d6ba1a' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.531 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1508: NodeDownloadProgress(event_id='95e782de-e3fd-49b9-9759-83e7082a77eb' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.531 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='95e782de-e3fd-49b9-9759-83e7082a77eb' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.546 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1509: NodeDownloadProgress(event_id='a626f29d-6e8d-4282-bace-e019addb2ed0' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.547 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='a626f29d-6e8d-4282-bace-e019addb2ed0' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.578 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1510: NodeDownloadProgress(event_id='659a6feb-f7c7-487e-9eb5-562e7e9e21e1' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.579 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='659a6feb-f7c7-487e-9eb5-562e7e9e21e1' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.584 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1511: NodeDownloadProgress(event_id='fedcde2d-eb3f-4603-a499-205c2ef5c45a' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.585 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='fedcde2d-eb3f-4603-a499-205c2ef5c45a' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.591 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1512: NodeDownloadProgress(event_id='9afb00ac-12b8-486d-9e20-ef5502f2df28' download_progress=DownloadPendi
