Feb 14 01:43:22 gremlin-1 exo[1239460]: [ 01:43:22.914 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /instance/previews
Feb 14 01:43:22 gremlin-1 exo[1239460]: [ 01:43:22.987 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:43:23 gremlin-1 exo[1239460]: [ 01:43:23.325 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 140: NodeGatheredInfo(event_id='44e9070e-014c-46b1-9321-861298b7d6e0' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:23 gremlin-1 exo[1239460]: [ 01:43:23.326 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='44e9070e-014c-46b1-9321-861298b7d6e0' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:23 gremlin-1 exo[1239460]: [ 01:43:23.989 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:43:23 gremlin-1 exo[1240975]: [INTEL ARC DEBUG] ===== DEVICE INFORMATION =====
Feb 14 01:43:23 gremlin-1 exo[1240975]: [INTEL ARC DEBUG] Device: NVIDIA GeForce RTX 4070 Ti SUPER
Feb 14 01:43:23 gremlin-1 exo[1240975]: [INTEL ARC DEBUG] Driver: 580.126.09
Feb 14 01:43:23 gremlin-1 exo[1240975]: [INTEL ARC DEBUG] ==============================
Feb 14 01:43:24 gremlin-1 exo[1240975]: [INTEL ARC DEBUG] Allocation #2: 1576009728 bytes (1503.00 MB / 1.468 GB)
Feb 14 01:43:24 gremlin-1 exo[1240975]: [INTEL ARC DEBUG]   Context: /nix/store/qk6in5b1ixjpx0djis1s1zrr10j0cwry-python3.13-tinygrad-0.11.0/lib/python3.13/site-packages/tinygrad/device.py:226 in alloc
Feb 14 01:43:24 gremlin-1 exo[1239460]: [ 01:43:24.145 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 141: NodeGatheredInfo(event_id='cc5201c0-b6b8-4ef9-9055-80a5a3f3dd30' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:24 gremlin-1 exo[1239460]: [ 01:43:24.146 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='cc5201c0-b6b8-4ef9-9055-80a5a3f3dd30' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:24 gremlin-1 exo[1239460]: [ 01:43:24.340 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 142: NodeGatheredInfo(event_id='e982382a-c22a-4f33-a234-d349cd20d507' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:24 gremlin-1 exo[1239460]: [ 01:43:24.342 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 143: NodeGatheredInfo(event_id='89cb38da-cb83-4844-89bd-3bd3f54cea56' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:24 gremlin-1 exo[1239460]: [ 01:43:24.345 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='e982382a-c22a-4f33-a234-d349cd20d507' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:24 gremlin-1 exo[1239460]: [ 01:43:24.347 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='89cb38da-cb83-4844-89bd-3bd3f54cea56' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:24 gremlin-1 exo[1239460]: [ 01:43:24.987 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.340 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 144: NodeGatheredInfo(event_id='e687bfdd-4e4e-44aa-a177-4aff3a7be3d0' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.341 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='e687bfdd-4e4e-44aa-a177-4aff3a7be3d0' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:25 gremlin-1 exo[1240975]: Inference failed: OpenCL Error -4: CL_MEM_OBJECT_ALLOCATION_FAILURE
Feb 14 01:43:25 gremlin-1 exo[1240975]: Inference failed at token 0: Inference failed: OpenCL Error -4: CL_MEM_OBJECT_ALLOCATION_FAILURE
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.569 | INFO     | exo.worker.runner.runner:main:714 ] runner ready
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.570 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 145: ChunkGenerated(event_id='d583942b-3a0d-4fab-8fc3-1097a34afc46' command_id='05f51e84-5aac-48ec-933e-4
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.571 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: ChunkGenerated(event_id='d583942b-3a0d-4fab-8fc3-1097a34afc46' command_id='05f51e84-5aac-48ec-933e-4
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.574 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 146: TaskStatusUpdated(event_id='5e8f4e06-1a81-447e-a22f-4c4da3d85d1e' task_id='a45dbcca-ba27-44f6-87a2-e
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.575 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: TaskStatusUpdated(event_id='5e8f4e06-1a81-447e-a22f-4c4da3d85d1e' task_id='a45dbcca-ba27-44f6-87a2-e
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.576 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 147: RunnerStatusUpdated(event_id='a93b4a75-5789-4626-be7f-14e672b5af48' runner_id='df59b55d-428f-4bde-a4
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.576 | INFO     | exo.master.main:_command_processor:120 ] Executing command: TaskFinished(command_id='dcc96a85-994e-42de-9a81-3c26ee764751' finished_command_id='05f51e84-5aac-48ec-933e-44e533961d2e')
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.577 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: TaskDeleted(event_id='2b3a3065-37fb-4a76-8934-36ea82400348' task_id='a45dbcca-ba27-44f6-87a2-e7a9ddf
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.578 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: RunnerStatusUpdated(event_id='a93b4a75-5789-4626-be7f-14e672b5af48' runner_id='df59b55d-428f-4bde-a4
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.988 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:43:26 gremlin-1 exo[1239460]: [ 01:43:26.341 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 148: NodeGatheredInfo(event_id='4b493c79-3c5d-44be-bd44-294bdc70cd7c' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:26 gremlin-1 exo[1239460]: [ 01:43:26.342 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='4b493c79-3c5d-44be-bd44-294bdc70cd7c' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:26 gremlin-1 exo[1239460]: [ 01:43:26.988 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.342 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 149: NodeGatheredInfo(event_id='8487e7a0-ccd2-463d-9b6c-9110a2b2155d' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.343 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='8487e7a0-ccd2-463d-9b6c-9110a2b2155d' node_id='12D3KooWECE3ryieLFaKGYY5kG
