Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: State 'stop-sigterm' timed out. Killing.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1070975 (.exo-wrapped) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1071018 (python3.13) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Main process exited, code=killed, status=9/KILL
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Failed with result 'timeout'.
Feb 14 01:01:32 gremlin-1 systemd[1]: Stopped exo Distributed AI Inference Service.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Consumed 1min 31.946s CPU time, 16.7G memory peak, 10.9G read from disk, 408K written to disk, 8.7G incoming IP traffic, 197.1M outgoing IP traffic.
Feb 14 01:01:32 gremlin-1 systemd[1]: Starting exo Distributed AI Inference Service...
Feb 14 01:01:32 gremlin-1 systemd[1]: Started exo Distributed AI Inference Service.
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.858 | INFO     | exo.main:main:259 ] Starting EXO
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.859 | INFO     | exo.main:main:260 ] EXO_LIBP2P_NAMESPACE: None
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.863 | DEBUG    | logging:handle:1681 ] Using selector: EpollSelector
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.865 | INFO     | exo.routing.router:_networking_subscribe:174 ] Subscribed to global_events
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.867 | INFO     | exo.routing.router:_networking_subscribe:174 ] Subscribed to local_events
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.869 | INFO     | exo.routing.router:_networking_subscribe:174 ] Subscribed to commands
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.870 | INFO     | exo.routing.router:_networking_subscribe:174 ] Subscribed to election_messages
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.870 | INFO     | exo.routing.router:_networking_subscribe:174 ] Subscribed to connection_messages
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.873 | INFO     | exo.routing.router:_networking_subscribe:174 ] Subscribed to download_commands
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.873 | INFO     | exo.main:create:57 ] Starting node 12D3KooWFqJJWdMdMqg7KvrGjxbVsQDJoZVLowt7DVkf4558y9RT
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.940 | DEBUG    | logging:handle:1681 ] Using selector: EpollSelector
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.941 | DEBUG    | exo.routing.router:run:149 ] Starting Router
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.941 | INFO     | exo.shared.election:run:88 ] Starting Election
Feb 14 01:01:33 gremlin-1 exo[1116617]: [ 01:01:33.941 | DEBUG    | exo.shared.election:run:98 ] Starting initial campaign
